timestamp,open,high,low,close,volume,close_p1,close_p2,close_p3,close_p4,close_p5,close_p6,close_p7,close_p8,close_p9,close_p10,close_p11
2017-01-06 14:57:00+05:30,84.17,84.2,84.13,84.13,9077,84.13,84.13,84.07,84.17,84.37,84.3,84.27,84.2,84.2,84.2,84.2
2017-01-06 14:58:00+05:30,84.13,84.23,84.13,84.13,23100,84.13,84.07,84.17,84.37,84.3,84.27,84.2,84.2,84.2,84.2,84.13
2017-01-06 14:59:00+05:30,84.13,84.17,84.13,84.13,11867,84.07,84.17,84.37,84.3,84.27,84.2,84.2,84.2,84.2,84.13,84.2
2017-01-06 15:00:00+05:30,84.17,84.23,84.07,84.07,31886,84.17,84.37,84.3,84.27,84.2,84.2,84.2,84.2,84.13,84.2,84.07
2017-01-06 15:01:00+05:30,84.07,84.23,84.07,84.17,24183,84.37,84.3,84.27,84.2,84.2,84.2,84.2,84.13,84.2,84.07,84.2
2017-01-06 15:02:00+05:30,84.2,84.47,84.13,84.37,66369,84.3,84.27,84.2,84.2,84.2,84.2,84.13,84.2,84.07,84.2,84.17
2017-01-06 15:03:00+05:30,84.37,84.37,84.27,84.3,35274,84.27,84.2,84.2,84.2,84.2,84.13,84.2,84.07,84.2,84.17,84.17
2017-01-06 15:04:00+05:30,84.3,84.37,84.27,84.27,28349,84.2,84.2,84.2,84.2,84.13,84.2,84.07,84.2,84.17,84.17,84.13
2017-01-06 15:05:00+05:30,84.23,84.33,84.17,84.2,53285,84.2,84.2,84.2,84.13,84.2,84.07,84.2,84.17,84.17,84.13,84.17
2017-01-06 15:06:00+05:30,84.27,84.33,84.2,84.2,23157,84.2,84.2,84.13,84.2,84.07,84.2,84.17,84.17,84.13,84.17,84.27
2017-01-06 15:07:00+05:30,84.2,84.27,84.13,84.2,35520,84.2,84.13,84.2,84.07,84.2,84.17,84.17,84.13,84.17,84.27,84.33
2017-01-06 15:08:00+05:30,84.2,84.23,84.13,84.2,20567,84.13,84.2,84.07,84.2,84.17,84.17,84.13,84.17,84.27,84.33,84.4
2017-01-06 15:09:00+05:30,84.23,84.23,84.07,84.13,19701,84.2,84.07,84.2,84.17,84.17,84.13,84.17,84.27,84.33,84.4,84.37
2017-01-06 15:10:00+05:30,84.13,84.2,84.1,84.2,41150,84.07,84.2,84.17,84.17,84.13,84.17,84.27,84.33,84.4,84.37,84.27
2017-01-06 15:11:00+05:30,84.17,84.2,84.07,84.07,80163,84.2,84.17,84.17,84.13,84.17,84.27,84.33,84.4,84.37,84.27,84.4
2017-01-06 15:12:00+05:30,84.07,84.2,84.07,84.2,30732,84.17,84.17,84.13,84.17,84.27,84.33,84.4,84.37,84.27,84.4,84.33
2017-01-06 15:13:00+05:30,84.23,84.27,84.13,84.17,61730,84.17,84.13,84.17,84.27,84.33,84.4,84.37,84.27,84.4,84.33,84.47
2017-01-06 15:14:00+05:30,84.17,84.23,84.13,84.17,66470,84.13,84.17,84.27,84.33,84.4,84.37,84.27,84.4,84.33,84.47,84.37
2017-01-06 15:15:00+05:30,84.17,84.27,84.13,84.13,69516,84.17,84.27,84.33,84.4,84.37,84.27,84.4,84.33,84.47,84.37,84.4
2017-01-06 15:16:00+05:30,84.17,84.3,84.1,84.17,70439,84.27,84.33,84.4,84.37,84.27,84.4,84.33,84.47,84.37,84.4,84.37
2017-01-06 15:17:00+05:30,84.17,84.27,84.17,84.27,32543,84.33,84.4,84.37,84.27,84.4,84.33,84.47,84.37,84.4,84.37,84.33
2017-01-06 15:18:00+05:30,84.23,84.43,84.23,84.33,82871,84.4,84.37,84.27,84.4,84.33,84.47,84.37,84.4,84.37,84.33,84.4
2017-01-06 15:19:00+05:30,84.33,84.47,84.33,84.4,45947,84.37,84.27,84.4,84.33,84.47,84.37,84.4,84.37,84.33,84.4,84.43
2017-01-06 15:20:00+05:30,84.4,84.43,84.33,84.37,39090,84.27,84.4,84.33,84.47,84.37,84.4,84.37,84.33,84.4,84.43,84.4
2017-01-06 15:21:00+05:30,84.4,84.4,84.27,84.27,40022,84.4,84.33,84.47,84.37,84.4,84.37,84.33,84.4,84.43,84.4,84.4
2017-01-06 15:22:00+05:30,84.33,84.43,84.3,84.4,64886,84.33,84.47,84.37,84.4,84.37,84.33,84.4,84.43,84.4,84.4,84.3
2017-01-06 15:23:00+05:30,84.4,84.43,84.33,84.33,18176,84.47,84.37,84.4,84.37,84.33,84.4,84.43,84.4,84.4,84.3,84.17
2017-01-06 15:24:00+05:30,84.33,84.5,84.3,84.47,50999,84.37,84.4,84.37,84.33,84.4,84.43,84.4,84.4,84.3,84.17,84.13
2017-01-06 15:25:00+05:30,84.47,84.5,84.37,84.37,29586,84.4,84.37,84.33,84.4,84.43,84.4,84.4,84.3,84.17,84.13,84.23
2017-01-06 15:26:00+05:30,84.4,84.47,84.3,84.4,50541,84.37,84.33,84.4,84.43,84.4,84.4,84.3,84.17,84.13,84.23,84.27
2017-01-06 15:27:00+05:30,84.4,84.5,84.37,84.37,23046,84.33,84.4,84.43,84.4,84.4,84.3,84.17,84.13,84.23,84.27,84.4
2017-01-06 15:28:00+05:30,84.4,84.47,84.33,84.33,36930,84.4,84.43,84.4,84.4,84.3,84.17,84.13,84.23,84.27,84.4,84.33
2017-01-06 15:29:00+05:30,84.3,84.4,84.3,84.4,30671,84.43,84.4,84.4,84.3,84.17,84.13,84.23,84.27,84.4,84.33,84.6
2017-01-09 09:15:00+05:30,84.6,84.6,84.27,84.43,31911,84.4,84.4,84.3,84.17,84.13,84.23,84.27,84.4,84.33,84.6,84.87
2017-01-09 09:16:00+05:30,84.47,84.47,84.33,84.4,16752,84.4,84.3,84.17,84.13,84.23,84.27,84.4,84.33,84.6,84.87,84.7
2017-01-09 09:17:00+05:30,84.4,84.47,84.37,84.4,25299,84.3,84.17,84.13,84.23,84.27,84.4,84.33,84.6,84.87,84.7,84.7
2017-01-09 09:18:00+05:30,84.43,84.43,84.3,84.3,20466,84.17,84.13,84.23,84.27,84.4,84.33,84.6,84.87,84.7,84.7,84.73
2017-01-09 09:19:00+05:30,84.33,84.4,84.17,84.17,23712,84.13,84.23,84.27,84.4,84.33,84.6,84.87,84.7,84.7,84.73,84.6
2017-01-09 09:20:00+05:30,84.17,84.27,84.07,84.13,52764,84.23,84.27,84.4,84.33,84.6,84.87,84.7,84.7,84.73,84.6,84.57
2017-01-09 09:21:00+05:30,84.2,84.23,84,84.23,35810,84.27,84.4,84.33,84.6,84.87,84.7,84.7,84.73,84.6,84.57,84.5
2017-01-09 09:22:00+05:30,84.17,84.27,84.17,84.27,14268,84.4,84.33,84.6,84.87,84.7,84.7,84.73,84.6,84.57,84.5,84.53
2017-01-09 09:23:00+05:30,84.27,84.43,84.27,84.4,30107,84.33,84.6,84.87,84.7,84.7,84.73,84.6,84.57,84.5,84.53,84.53
2017-01-09 09:24:00+05:30,84.4,84.47,84.33,84.33,20976,84.6,84.87,84.7,84.7,84.73,84.6,84.57,84.5,84.53,84.53,84.53
2017-01-09 09:25:00+05:30,84.33,84.6,84.27,84.6,35394,84.87,84.7,84.7,84.73,84.6,84.57,84.5,84.53,84.53,84.53,84.9
2017-01-09 09:26:00+05:30,84.6,84.87,84.5,84.87,88599,84.7,84.7,84.73,84.6,84.57,84.5,84.53,84.53,84.53,84.9,84.9
2017-01-09 09:27:00+05:30,84.87,84.9,84.67,84.7,75659,84.7,84.73,84.6,84.57,84.5,84.53,84.53,84.53,84.9,84.9,85.23
2017-01-09 09:28:00+05:30,84.7,84.77,84.63,84.7,14880,84.73,84.6,84.57,84.5,84.53,84.53,84.53,84.9,84.9,85.23,85.1
